event_type, timeStamp, idSession, level, playerButton, levelButton, distanceToNote, numNote, score, maxCombo, comboTime, input, lastNote, dialogLine
INPUT_EVENT, Sat 2021-06-05 14:52:24, 321489216, 14, rDown, rDown, 5.737500, 88
INPUT_EVENT, Sat 2021-06-05 14:52:25, 321489216, 14, lLeft, lLeft, 7.968750, 89
INPUT_EVENT, Sat 2021-06-05 14:52:25, 321489216, 14, rLeft, rLeft, 6.056250, 90
INPUT_EVENT, Sat 2021-06-05 14:52:25, 321489216, 14, lLeft, lLeft, 21.356251, 91
INPUT_EVENT, Sat 2021-06-05 14:52:25, 321489216, 14, rLeft, rLeft, 13.706250, 92
INPUT_EVENT, Sat 2021-06-05 14:52:26, 321489216, 14, lUp, lUp, 3.825000, 93
INPUT_EVENT, Sat 2021-06-05 14:52:26, 321489216, 14, rUp, rUp, 5.737500, 94
INPUT_EVENT, Sat 2021-06-05 14:52:27, 321489216, 14, lUp, lUp, 2.231250, 95
INPUT_EVENT, Sat 2021-06-05 14:52:27, 321489216, 14, rUp, rUp, 1.912500, 96
INPUT_EVENT, Sat 2021-06-05 14:52:27, 321489216, 14, lRight, lRight, 11.475000, 97
INPUT_EVENT, Sat 2021-06-05 14:52:27, 321489216, 14, rRight, rRight, 15.300000, 98
INPUT_EVENT, Sat 2021-06-05 14:52:27, 321489216, 14, lRight, lRight, 2.231250, 99
INPUT_EVENT, Sat 2021-06-05 14:52:27, 321489216, 14, rRight, rRight, 1.912500, 100
INPUT_EVENT, Sat 2021-06-05 14:52:28, 321489216, 14, lDown, lDown, 1.912500, 101
INPUT_EVENT, Sat 2021-06-05 14:52:28, 321489216, 14, rDown, rDown, 5.737500, 102
INPUT_EVENT, Sat 2021-06-05 14:52:28, 321489216, 14, rDown, lDown, 9.881250, 103
INPUT_EVENT, Sat 2021-06-05 14:52:28, 321489216, 14, rDown, rDown, 9.881250, 104
INPUT_EVENT, Sat 2021-06-05 14:52:29, 321489216, 14, rUp, rUp, 9.562500, 105
INPUT_EVENT, Sat 2021-06-05 14:52:29, 321489216, 14, rUp, lUp, 11.475000, 106
INPUT_EVENT, Sat 2021-06-05 14:52:29, 321489216, 14, rUp, lUp, 1.912500, 107
INPUT_EVENT, Sat 2021-06-05 14:52:29, 321489216, 14, rUp, rUp, 1.912500, 108
INPUT_EVENT, Sat 2021-06-05 14:52:31, 321489216, 14, lUp, lUp, 13.387500, 109
INPUT_EVENT, Sat 2021-06-05 14:52:31, 321489216, 14, rUp, rUp, 1.912500, 110
INPUT_EVENT, Sat 2021-06-05 14:52:31, 321489216, 14, lUp, lUp, 19.125000, 111
INPUT_EVENT, Sat 2021-06-05 14:52:31, 321489216, 14, rUp, rUp, 6.056250, 112
INPUT_EVENT, Sat 2021-06-05 14:52:32, 321489216, 14, lUp, lUp, 9.562500, 113
INPUT_EVENT, Sat 2021-06-05 14:52:32, 321489216, 14, rUp, rUp, 2.231250, 114
INPUT_EVENT, Sat 2021-06-05 14:52:32, 321489216, 14, lUp, lUp, 5.737500, 115
INPUT_EVENT, Sat 2021-06-05 14:52:32, 321489216, 14, rUp, rUp, 1.912500, 116
INPUT_EVENT, Sat 2021-06-05 14:52:33, 321489216, 14, rRight, rRight, 6.056250, 117
INPUT_EVENT, Sat 2021-06-05 14:52:33, 321489216, 14, rRight, rRight, 11.793750, 118
INPUT_EVENT, Sat 2021-06-05 14:52:33, 321489216, 14, lUp, lUp, 3.825000, 119
INPUT_EVENT, Sat 2021-06-05 14:52:34, 321489216, 14, lUp, lUp, 3.825000, 120
INPUT_EVENT, Sat 2021-06-05 14:52:34, 321489216, 14, rUp, rUp, 9.562500, 121
INPUT_EVENT, Sat 2021-06-05 14:52:34, 321489216, 14, rUp, rUp, 5.737500, 122
INPUT_EVENT, Sat 2021-06-05 14:52:35, 321489216, 14, lDown, lDown, 3.825000, 123
INPUT_EVENT, Sat 2021-06-05 14:52:35, 321489216, 14, rDown, rDown, 7.650000, 124
INPUT_EVENT, Sat 2021-06-05 14:52:36, 321489216, 14, rUp, lDown, 5.737500, 125
INPUT_EVENT, Sat 2021-06-05 14:52:36, 321489216, 14, rUp, rUp, 5.737500, 126
INPUT_EVENT, Sat 2021-06-05 14:52:37, 321489216, 14, lLeft, lLeft, 11.475000, 127
INPUT_EVENT, Sat 2021-06-05 14:52:37, 321489216, 14, rLeft, rLeft, 15.300000, 128
INPUT_EVENT, Sat 2021-06-05 14:52:37, 321489216, 14, lLeft, lLeft, 0.000000, 129
INPUT_EVENT, Sat 2021-06-05 14:52:37, 321489216, 14, rLeft, rLeft, 5.737500, 130
INPUT_EVENT, Sat 2021-06-05 14:52:37, 321489216, 14, lLeft, lLeft, 9.881250, 131
INPUT_EVENT, Sat 2021-06-05 14:52:37, 321489216, 14, rLeft, rLeft, 4.143750, 132
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, lRight, lRight, 11.793750, 133
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, rRight, rRight, 9.562500, 134
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, rRight, lRight, 21.356251, 135
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, rRight, rRight, 21.356251, 136
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, rDown, lDown, 25.181250, 137
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, rDown, rDown, 25.181250, 138
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, rDown, lDown, 35.062500, 139
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, rDown, rDown, 35.062500, 140
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, rUp, lUp, 27.093750, 141
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, rUp, rUp, 27.093750, 142
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, rUp, rUp, 38.887501, 143
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, rUp, lUp, 32.831249, 144
INPUT_EVENT, Sat 2021-06-05 14:52:40, 321489216, 14, lRight, lRight, 7.650000, 145
INPUT_EVENT, Sat 2021-06-05 14:52:41, 321489216, 14, rRight, rRight, 5.737500, 146
INPUT_EVENT, Sat 2021-06-05 14:52:41, 321489216, 14, lRight, lRight, 3.825000, 147
INPUT_EVENT, Sat 2021-06-05 14:52:41, 321489216, 14, rLeft, rLeft, 30.918751, 148
INPUT_EVENT, Sat 2021-06-05 14:52:42, 321489216, 14, lLeft, lLeft, 5.737500, 149
INPUT_EVENT, Sat 2021-06-05 14:52:42, 321489216, 14, rRight, rRight, 11.475000, 150
INPUT_EVENT, Sat 2021-06-05 14:52:42, 321489216, 14, rLeft, lRight, 1.912500, 151
INPUT_EVENT, Sat 2021-06-05 14:52:42, 321489216, 14, rLeft, rLeft, 1.912500, 152
INPUT_EVENT, Sat 2021-06-05 14:52:43, 321489216, 14, lUp, lUp, 11.793750, 153
INPUT_EVENT, Sat 2021-06-05 14:52:43, 321489216, 14, rUp, rUp, 5.737500, 154
INPUT_EVENT, Sat 2021-06-05 14:52:43, 321489216, 14, lLeft, lLeft, 11.475000, 155
INPUT_EVENT, Sat 2021-06-05 14:52:44, 321489216, 14, lLeft, lLeft, 1.912500, 156
INPUT_EVENT, Sat 2021-06-05 14:52:44, 321489216, 14, rRight, rRight, 1.912500, 157
